Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
3,0,0,0,2,0,-1,1,285,3,1820,2,1,21,24,9,2,8,6,2269
1,1,3,2,2,0,-1,1,234,2,243,1,4,20,36,5,2,9,13,1918
0,0,3,0,1,0,-1,2,91,3,1586,2,7,8,43,2,2,10,5,2477
3,0,2,0,1,1,-1,1,118,0,11,0,3,6,10,16,0,2,0,1444
1,0,1,3,1,1,-1,1,75,2,72,2,5,15,42,16,1,5,10,1254
0,1,1,2,3,0,-1,1,134,2,1157,2,5,19,35,10,0,6,11,1411
2,1,0,0,2,0,-1,0,282,2,1380,1,4,7,11,8,0,14,6,1605
1,1,1,1,3,2,3,0,110,2,5765,3,5,7,2,18,0,2,0,3054
0,0,1,1,1,1,-1,1,202,3,92,1,6,9,16,14,2,4,6,2902
0,1,0,1,3,2,3,1,56,0,7797,0,7,22,8,15,2,14,0,4301
3,0,3,3,3,1,-1,0,223,3,50,2,3,12,35,22,2,8,9,2308
3,0,1,2,2,2,0,0,202,0,7629,3,1,17,37,2,0,9,6,4132
0,1,1,0,2,2,0,2,114,0,2367,3,3,1,41,23,0,3,0,2993
0,0,2,0,2,2,0,0,141,0,3960,3,1,7,21,1,2,7,15,3098
0,0,3,3,0,1,-1,2,236,1,42,1,2,19,15,10,2,15,15,1364
3,0,2,0,0,2,3,2,95,1,6455,0,1,15,31,14,2,5,14,2941
0,0,1,2,3,1,-1,1,249,0,41,0,4,6,2,4,1,2,12,1349
0,0,0,0,1,1,-1,0,213,2,71,3,1,24,17,16,2,14,12,1038
1,1,1,3,2,1,-1,1,81,2,39,3,7,16,31,15,0,14,15,1815
0,0,1,2,0,1,-1,1,91,3,50,1,1,13,29,24,0,13,8,2566
0,0,3,3,2,2,4,2,291,3,8707,3,3,2,23,23,1,9,5,2439
1,0,0,3,3,2,3,2,70,3,167,2,2,9,7,20,2,15,0,2056
0,0,0,2,1,0,-1,0,89,3,631,3,7,2,0,18,1,1,3,2299
0,1,3,3,3,0,-1,1,121,1,194,0,6,15,16,18,1,15,10,1492
2,0,2,0,0,1,-1,0,198,1,46,3,1,12,45,17,0,5,2,1692
1,1,1,2,2,1,-1,1,234,0,37,1,3,15,29,3,2,2,3,2581
0,1,1,1,2,1,-1,2,84,1,31,0,2,0,1,1,1,13,6,950
3,1,3,3,0,2,3,0,182,2,2880,2,5,10,9,1,1,5,9,1923
0,0,0,1,2,1,-1,0,275,2,6,1,2,19,49,19,2,2,7,1751
2,0,0,2,0,1,-1,2,228,3,40,2,6,1,35,7,1,6,1,2562
0,1,3,2,2,1,-1,1,140,0,1,0,6,9,24,24,0,7,9,2456
0,0,1,2,3,0,-1,2,232,2,1341,1,1,22,8,1,1,9,0,657
3,0,0,3,3,0,-1,0,115,3,393,2,3,21,13,9,0,12,1,1758
1,0,3,0,1,0,-1,1,157,0,191,3,4,2,44,12,1,14,12,2184
1,0,0,3,0,0,-1,2,156,3,131,1,1,14,20,23,0,11,8,3009
2,1,2,0,2,2,1,0,252,3,1419,0,5,8,43,20,2,14,11,3748
3,0,3,0,3,2,4,1,162,1,9159,2,7,2,26,16,0,4,12,1122
1,1,1,0,2,2,2,1,145,2,8016,2,3,21,14,16,0,15,2,2810
0,0,2,0,3,1,-1,1,214,2,87,3,3,24,32,23,0,8,12,1346
2,0,3,3,1,1,-1,1,126,1,3,2,5,15,3,12,2,10,0,671
2,0,2,3,2,1,-1,0,91,0,13,1,1,19,44,16,2,11,12,1695
3,0,2,2,3,1,-1,1,205,2,74,0,3,6,2,19,0,15,2,810
2,0,0,3,2,2,2,1,285,0,7743,1,3,1,33,4,2,2,13,2768
2,0,3,2,1,0,-1,1,178,2,993,0,7,11,2,13,1,5,12,1033
1,0,2,3,0,0,-1,2,236,1,1997,0,4,6,17,6,0,5,11,2046
1,0,2,2,0,2,4,1,286,1,2721,2,6,23,30,22,0,13,8,2171
3,0,1,0,0,1,-1,0,108,1,5,3,7,21,0,4,2,7,5,1312
1,1,3,3,2,0,-1,2,76,1,941,0,1,24,3,18,0,15,0,1209
2,1,3,2,0,2,1,2,270,0,8815,2,2,7,37,9,1,0,12,4017
3,0,0,2,2,2,4,0,146,1,3276,1,1,13,10,10,0,1,1,877
1,1,3,3,3,2,2,2,221,2,3309,3,5,8,16,20,2,2,12,1856
1,1,0,2,2,2,2,0,230,2,2623,3,2,20,31,12,0,13,12,2197
1,0,2,3,3,2,1,0,295,3,7915,0,1,15,10,18,1,7,0,4281
2,1,3,1,3,2,3,2,177,0,8897,2,3,17,3,24,2,6,11,3480
2,0,1,3,1,1,-1,0,189,2,19,3,1,22,36,7,1,3,5,953
2,1,2,0,1,2,4,0,174,0,3662,2,2,9,44,21,2,15,3,2046
1,1,3,3,0,2,0,1,193,2,611,0,6,12,37,5,1,9,8,2521
0,1,2,3,2,0,-1,1,238,3,1431,0,6,1,33,3,2,2,11,3551
3,1,0,3,2,0,-1,2,101,2,1978,3,3,14,36,11,2,7,6,1459
2,1,3,0,3,1,-1,2,99,3,92,1,2,8,29,18,0,6,14,2492
1,1,2,0,0,1,-1,0,50,0,82,0,1,10,23,16,0,13,8,2411
1,0,0,0,0,0,-1,1,71,3,1851,0,7,15,0,20,2,5,7,2761
2,0,1,3,2,0,-1,2,232,1,1224,1,3,7,26,9,1,15,8,1500
0,1,0,2,2,2,4,2,247,2,8219,1,5,18,2,5,1,6,0,1708
1,0,2,1,0,0,-1,2,222,2,1390,1,4,19,2,7,0,0,3,1717
0,1,3,1,2,0,-1,2,61,0,434,3,1,23,41,14,0,7,5,2135
2,1,3,1,2,2,2,2,137,2,7460,2,6,5,11,20,1,7,6,2042
3,0,3,2,2,1,-1,1,157,1,15,2,1,20,50,18,1,12,6,1221
2,1,1,1,1,2,1,1,174,3,4686,1,2,0,47,2,0,5,12,3473
3,0,1,0,3,1,-1,0,214,2,88,0,5,12,39,21,1,9,2,1378
3,0,0,1,3,1,-1,2,214,3,40,1,2,21,43,2,2,10,3,2135
3,1,0,2,2,1,-1,1,66,2,56,2,6,11,49,20,0,11,4,1464
0,0,3,1,0,1,-1,2,123,3,14,1,6,22,2,22,2,15,5,2816
3,1,3,1,2,0,-1,2,105,3,108,3,1,17,19,11,0,7,7,2210
1,0,2,1,1,2,4,0,125,2,5168,2,3,1,40,17,0,7,0,1552
3,1,3,2,0,2,0,1,280,0,672,2,3,24,34,18,0,10,7,2406
1,0,3,1,1,1,-1,2,238,3,94,1,3,17,21,22,1,0,8,3004
1,0,1,0,2,2,0,2,270,1,3114,0,3,14,5,10,1,2,8,2540
3,0,1,3,1,2,3,1,80,1,7134,1,2,5,8,5,2,10,2,2424
0,0,3,2,0,2,1,2,276,1,8609,1,6,6,14,20,2,7,4,4000
3,0,2,1,1,0,-1,0,210,2,852,1,1,16,32,10,0,12,5,1288
1,1,1,1,1,0,-1,1,270,1,1673,3,6,16,50,14,2,3,11,2317
3,0,1,2,0,0,-1,0,152,3,1564,0,7,9,17,15,2,9,15,2730
3,0,3,2,2,1,-1,0,247,1,74,2,7,3,17,22,2,6,7,1371
3,0,2,0,1,2,0,2,145,1,2885,2,4,3,33,21,1,14,10,2349
3,1,3,3,1,2,0,1,260,1,8130,0,7,7,27,0,1,15,4,4536
0,0,1,3,2,0,-1,0,283,3,228,1,3,2,40,17,0,9,5,2987
3,0,1,2,2,0,-1,2,277,2,1162,3,4,1,20,7,1,12,2,1039
3,1,0,1,2,0,-1,1,203,2,71,3,2,10,24,12,0,5,2,1036
1,0,2,3,1,2,1,1,213,0,6337,1,4,13,1,0,1,4,3,3620
3,1,3,2,1,0,-1,1,135,1,1649,2,4,8,21,2,1,10,1,1009
2,0,2,0,1,2,1,0,96,3,6159,2,2,6,5,19,2,9,8,2895
0,1,2,2,3,2,1,2,162,2,9884,1,1,21,32,21,2,8,9,4294
3,1,3,2,2,2,2,2,233,0,4060,1,7,13,46,7,0,13,2,3429
2,0,2,0,1,1,-1,2,262,1,68,3,7,11,13,9,2,11,6,1334
0,1,0,1,2,1,-1,1,176,3,5,0,7,13,34,16,0,6,6,3697
3,0,0,3,1,0,-1,0,176,1,702,2,4,7,31,18,1,0,2,1494
2,1,3,1,0,1,-1,2,147,3,2,1,4,1,14,17,0,15,1,2779
0,0,2,1,0,1,-1,0,83,1,42,2,1,7,0,1,0,9,2,993
3,0,2,1,0,0,-1,1,205,2,274,1,5,20,32,0,1,8,13,1944
3,0,2,1,0,0,-1,0,125,0,590,2,3,1,3,1,0,15,10,1474
0,1,1,3,1,2,1,0,145,0,84,2,1,1,5,22,2,4,2,1880
3,0,0,1,0,2,1,0,236,0,6908,0,3,15,8,17,2,4,6,3535
2,0,2,0,2,1,-1,0,101,1,52,3,7,17,45,17,1,5,5,1644
1,0,1,2,1,2,3,1,77,0,121,1,2,2,0,3,1,3,9,1268
1,1,2,1,1,1,-1,1,241,1,30,2,7,19,14,19,1,12,15,1529
1,1,3,3,3,0,-1,1,124,1,1336,1,4,10,34,20,2,6,7,2076
1,1,2,1,3,1,-1,0,82,2,89,0,4,5,49,10,1,6,15,1850
3,1,0,1,1,0,-1,1,262,2,1412,2,6,10,7,19,1,10,15,1000
1,1,1,3,3,1,-1,1,254,2,4,2,3,6,34,13,1,4,3,1485
0,0,0,2,0,0,-1,2,76,1,1924,3,1,14,19,2,0,1,5,1139
2,0,0,0,1,1,-1,1,207,2,64,0,2,8,13,14,0,1,13,682
0,1,3,0,1,2,4,0,234,2,8659,0,1,8,10,11,2,12,14,926
3,0,0,0,0,1,-1,2,93,1,82,2,1,17,8,23,2,11,13,1037
3,0,3,1,3,1,-1,0,76,3,31,2,4,1,0,0,0,11,7,1467
3,1,2,2,1,2,4,1,67,1,5230,3,3,5,6,0,1,9,5,914
2,0,2,3,3,0,-1,1,101,0,450,1,4,22,35,20,0,7,3,1741
2,1,1,2,0,0,-1,2,73,3,441,2,2,19,46,13,2,15,14,2742
1,0,1,3,2,2,3,1,280,1,6160,0,2,1,8,19,0,10,8,2988
0,0,3,3,0,1,-1,0,85,0,35,3,4,20,34,4,1,14,10,2160
0,1,0,1,1,1,-1,2,256,0,57,0,6,5,44,24,2,6,11,3098
3,1,1,0,2,1,-1,2,193,3,7,1,3,10,43,7,1,5,11,2764
2,1,0,1,2,2,2,1,145,0,5469,3,4,16,5,5,0,7,1,2335
2,0,0,3,2,1,-1,2,282,0,6,3,3,12,23,7,1,1,14,1462
1,1,2,0,0,0,-1,2,133,0,21,2,3,5,31,11,1,3,4,2356
2,1,1,0,0,0,-1,2,232,1,1127,3,1,19,45,16,0,5,2,1731
3,0,2,0,0,1,-1,1,129,2,7,3,2,22,25,18,0,11,15,1162
3,0,1,2,0,2,4,0,140,0,6028,1,3,11,12,19,0,0,15,1884
2,1,3,0,2,2,3,2,155,1,1669,2,3,1,18,15,1,11,11,1505
1,1,0,1,2,0,-1,0,171,2,1972,2,6,11,0,4,2,15,13,1252
3,0,2,1,3,0,-1,2,274,2,684,3,6,9,22,10,0,14,3,1360
0,1,2,3,0,1,-1,2,264,3,13,0,4,15,42,20,1,14,0,3824
3,1,3,0,0,2,3,0,98,3,8061,2,7,14,18,4,1,1,0,4580
3,0,3,3,0,2,3,0,252,2,2544,1,7,24,50,24,1,1,5,2833
2,1,1,3,3,1,-1,2,256,1,46,1,1,17,35,14,2,3,8,1131
3,1,0,3,3,0,-1,0,209,3,62,2,1,24,18,9,0,4,4,2382
3,1,3,1,2,2,4,0,269,0,4447,1,4,12,43,7,1,8,12,2649
3,1,0,2,2,2,1,0,113,1,4303,2,7,17,23,17,2,7,5,2706
0,1,3,0,3,2,3,2,270,3,3176,3,5,24,16,0,1,1,0,3045
2,1,0,2,2,2,1,1,72,1,7255,2,2,0,50,1,1,2,11,3134
1,1,3,1,2,1,-1,2,101,3,62,1,7,2,19,11,0,2,13,3619
2,1,2,1,2,2,0,2,196,3,6254,2,6,21,45,20,2,9,12,5013
0,0,3,3,0,1,-1,1,277,3,93,3,3,17,17,24,2,11,15,2443
3,0,2,3,2,1,-1,1,91,2,86,2,3,2,8,7,1,1,14,488
0,1,0,3,2,0,-1,1,97,1,357,1,7,4,39,23,1,11,2,2409
0,1,3,1,2,2,0,0,244,3,8725,0,7,10,46,1,1,15,7,7159
0,1,1,0,1,0,-1,1,108,3,1753,3,5,13,16,2,2,2,0,2670
0,0,2,0,2,1,-1,1,106,3,45,0,1,19,44,16,0,1,14,2321
2,1,3,3,0,0,-1,1,103,1,292,2,5,14,25,11,1,2,8,1574
0,0,1,1,0,0,-1,2,220,3,1739,3,6,20,0,20,2,10,14,2471
1,1,2,1,3,1,-1,1,287,0,2,2,6,14,27,23,0,2,1,2541
0,0,2,0,2,1,-1,2,123,3,38,3,3,0,21,19,2,5,6,2298
0,1,0,1,3,0,-1,1,259,1,970,0,1,18,31,15,0,15,6,1445
0,1,3,3,1,2,3,2,172,2,8616,1,7,12,2,16,1,1,15,4240
2,1,0,3,0,0,-1,1,227,3,635,2,3,4,42,11,2,12,7,2650
3,0,2,3,0,2,4,2,161,2,2914,3,1,3,13,23,0,3,8,1033
2,1,0,2,3,1,-1,1,146,1,92,2,3,21,26,15,0,9,0,990
3,0,3,3,3,1,-1,0,151,2,67,0,6,13,6,7,2,12,9,937
0,0,0,0,3,2,1,2,244,0,6972,3,5,3,23,23,0,15,5,3483
1,0,0,3,1,2,0,1,193,3,9812,0,3,5,31,17,0,10,14,6515
3,1,2,1,2,0,-1,2,255,3,1057,2,7,8,27,18,0,10,13,2929
3,1,0,0,2,2,3,0,125,1,3295,0,1,11,34,11,0,14,5,2377
2,0,2,2,0,1,-1,2,52,0,97,2,1,7,9,10,0,10,14,1252
3,0,2,3,2,2,4,1,252,1,9705,1,6,9,8,23,0,4,6,1874
2,0,3,1,1,2,1,2,69,1,3105,2,6,8,38,2,1,3,0,1579
0,1,2,2,1,1,-1,2,139,2,6,1,1,23,2,11,1,11,11,974
0,1,1,2,3,1,-1,0,242,3,34,2,2,15,42,8,2,12,2,2607
2,1,0,3,1,0,-1,0,224,0,1328,0,2,24,28,22,0,12,5,2054
3,1,2,1,0,0,-1,0,242,2,779,2,7,7,16,12,1,0,9,1662
0,0,3,0,1,0,-1,1,193,1,913,1,4,5,29,1,2,2,12,1463
0,0,0,2,2,2,4,1,79,1,5464,2,1,19,45,14,0,1,6,1143
2,1,0,0,2,2,1,1,222,2,3912,3,6,7,41,20,1,4,6,2790
0,0,2,2,1,1,-1,2,271,1,89,1,7,5,46,20,1,12,9,2629
0,0,2,0,2,2,2,1,193,0,4359,3,5,15,9,5,0,11,9,2338
0,0,0,0,0,2,1,1,156,1,7873,0,7,21,44,6,0,7,14,3984
3,1,0,2,1,0,-1,1,168,1,374,2,2,20,34,3,1,3,5,1253
1,0,1,1,1,0,-1,2,175,1,1218,3,1,10,17,19,0,6,1,1480
0,0,2,1,1,1,-1,0,212,1,1,3,1,4,38,9,0,7,4,1556
0,1,2,0,1,0,-1,1,101,2,638,3,7,8,36,1,2,4,12,1847
3,0,2,3,1,2,2,2,296,1,8641,3,4,19,3,20,1,14,13,2778
3,1,2,2,0,1,-1,1,66,2,46,2,5,14,50,14,0,8,6,1828
0,0,1,1,2,2,2,1,210,1,2871,0,1,15,35,0,2,2,15,1684
1,0,2,0,0,0,-1,2,189,3,978,1,1,15,46,24,2,5,14,3503
3,0,2,3,1,0,-1,0,225,3,1585,3,1,12,36,1,0,13,9,2540
2,0,3,2,2,1,-1,2,139,2,92,1,2,11,21,1,1,9,5,838
3,0,1,1,0,2,3,0,217,3,4197,3,4,17,28,8,0,9,7,3559
3,0,3,2,3,0,-1,0,275,0,199,3,4,15,2,16,0,9,6,1237
3,0,2,2,0,0,-1,1,81,0,732,3,4,1,6,1,1,12,9,1406
2,1,3,0,1,0,-1,1,270,0,584,3,6,5,4,15,1,8,4,1812
2,1,0,0,1,0,-1,2,219,3,476,0,4,17,26,10,1,5,15,2784
1,0,2,3,3,0,-1,1,207,3,1507,1,4,24,2,15,1,13,15,2554
2,1,1,3,2,2,4,1,131,1,6915,2,5,0,28,5,1,11,9,1203
2,0,3,1,0,0,-1,2,56,1,133,0,4,11,8,5,0,5,3,1167
3,1,1,2,0,1,-1,1,184,1,9,3,1,13,30,3,2,12,1,1279
0,0,3,0,3,1,-1,0,250,2,34,2,6,5,6,22,0,9,14,842
3,1,1,2,0,2,4,0,85,3,9359,0,2,19,32,10,2,10,6,2654
2,0,0,2,1,1,-1,1,126,2,62,1,1,13,27,4,1,5,2,830
2,1,3,2,1,0,-1,2,297,1,1681,0,3,2,24,19,0,13,4,1624
2,1,1,3,0,1,-1,1,210,2,93,3,3,16,50,7,2,10,15,1439
2,1,2,1,0,1,-1,0,245,3,56,2,1,11,43,13,0,13,12,2904
0,0,0,1,0,2,3,0,293,3,3509,3,7,9,33,14,1,0,1,4103
0,0,1,2,2,1,-1,1,173,1,37,2,2,15,34,10,0,1,14,1060
2,1,2,2,0,2,3,0,123,3,6731,2,2,7,19,12,2,2,9,4203
2,0,1,0,0,0,-1,1,75,1,1388,2,1,19,5,6,1,5,5,856
3,1,1,1,3,2,4,2,256,0,159,1,7,4,33,16,0,15,9,2433
3,1,1,0,0,2,0,2,73,2,7976,1,5,5,15,0,0,10,1,4483
1,1,2,2,3,0,-1,0,273,2,1032,2,7,7,13,18,2,7,9,1661
2,1,3,0,0,0,-1,0,129,1,1351,3,6,5,13,7,0,10,15,1484
0,0,1,1,1,0,-1,0,65,3,436,2,2,9,46,23,2,4,10,2955
3,0,3,1,2,2,3,2,231,1,4595,3,4,16,41,10,2,0,5,2590
2,1,1,1,2,0,-1,0,271,2,770,2,4,0,37,1,1,10,7,1166
1,0,2,1,1,0,-1,2,137,1,1632,0,2,13,23,20,0,0,12,1742
1,0,0,1,1,0,-1,1,54,1,69,1,5,0,15,17,1,13,1,1628
1,1,0,2,3,0,-1,0,219,2,1876,0,4,14,37,14,0,13,13,2090
3,1,3,0,0,0,-1,2,68,2,158,3,3,5,38,7,1,10,10,1327
1,0,2,0,0,0,-1,1,289,0,838,1,6,18,5,6,2,13,4,2673
0,1,1,2,3,2,1,2,76,1,2723,0,7,6,28,17,0,14,1,2664
2,0,3,3,3,0,-1,1,67,0,593,3,2,11,26,17,1,2,12,1239
3,0,3,0,2,2,0,2,296,2,4910,1,5,5,40,22,1,9,4,2991
0,0,2,3,1,1,-1,1,244,1,61,3,7,0,19,9,1,14,1,1688
3,0,2,0,0,1,-1,0,105,1,54,2,2,7,49,6,2,12,3,1563
0,1,0,0,1,2,1,0,275,1,4425,3,2,11,13,23,1,8,11,3127
1,1,2,2,0,1,-1,1,83,3,85,0,6,0,41,22,2,8,9,4095
0,0,1,2,0,2,2,2,162,1,7434,3,6,14,14,5,2,1,10,2486
1,1,2,1,3,2,0,1,209,0,7258,0,1,9,27,18,0,12,2,5082
1,1,3,3,2,1,-1,1,76,2,7,1,5,2,39,22,2,2,14,2160
1,1,1,0,0,1,-1,2,72,0,74,2,3,2,19,5,0,7,5,2091
3,1,3,3,3,1,-1,2,282,2,37,1,5,14,30,22,0,11,14,1696
0,1,3,2,0,2,4,2,298,2,1170,2,1,15,1,22,2,13,12,1009
2,1,2,3,2,2,2,1,170,2,6890,2,2,15,39,11,2,3,12,2134
1,1,3,1,0,0,-1,2,234,1,506,2,4,12,43,0,2,0,0,2047
3,1,2,2,1,1,-1,0,282,2,99,0,6,10,28,14,1,8,14,2190
0,0,1,0,1,2,4,1,215,2,1695,2,6,22,31,24,2,12,1,1177
0,0,0,3,3,2,4,1,175,0,5671,2,4,16,45,14,2,14,0,1814
2,0,2,0,3,2,4,0,190,2,8553,3,6,6,44,19,2,9,8,1284
2,1,0,2,0,0,-1,0,73,1,1418,0,7,15,6,12,2,12,13,1839
2,0,0,3,3,0,-1,1,214,1,382,0,3,10,24,18,1,5,10,1026
2,0,2,3,1,2,3,0,127,2,5005,0,6,20,37,6,2,5,6,2600
3,0,1,3,3,1,-1,0,62,3,77,1,4,3,33,10,0,3,1,2189
2,1,1,0,3,0,-1,2,199,1,194,0,2,17,45,5,1,4,7,1500
2,1,1,2,2,0,-1,1,256,0,1446,2,6,16,25,5,1,10,2,1685
3,0,3,0,0,1,-1,2,223,0,58,3,6,13,26,7,1,11,3,1914
0,0,3,1,1,2,2,1,185,1,7570,1,2,14,48,13,0,11,3,2845
2,0,3,0,1,2,2,0,125,1,8298,0,2,4,12,12,1,13,2,2152
0,0,0,2,0,2,4,0,294,3,3216,2,1,5,20,21,1,5,1,2577
1,0,2,3,0,2,3,0,187,1,9945,3,3,1,9,13,2,5,7,4220
2,1,0,1,1,0,-1,0,155,2,499,0,6,17,5,2,2,9,6,1199
2,0,3,2,2,0,-1,0,277,0,1426,0,3,4,13,16,1,1,13,1552
1,1,2,3,0,2,4,1,296,3,95,2,5,9,15,11,2,7,7,3294
